Customer_ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Monthly_Income,Account_Balance,Family_Size,City,Cluster
100025,Female,Yes,51,No,Homemaker,16,660686,314581,7,Erbil,1
100026,Male,No,25,No,Laborer,1,351457,463831,2,Dhi_Qar,3
100027,Male,Yes,32,Yes,Doctor,13,2036422,8962295,3,Erbil,5
100028,Female,Yes,70,No,Retired,25,270462,7252325,1,Baghdad,4
100029,Male,Yes,72,No,Retired,21,487948,6273471,2,Sulaymaniyah,4
100030,Male,Yes,30,Yes,Teacher,6,603312,1098850,5,Anbar,6
100031,Female,No,25,No,Laborer,0,394941,628906,2,Sulaymaniyah,3
100032,Male,Yes,30,Yes,Trader,15,2872762,25767696,5,Diyala,5
100033,Male,Yes,30,Yes,Government_Employee,7,1036348,2541627,3,Baghdad,2
100034,Female,Yes,39,No,Engineer,13,1318407,11263095,4,Mosul,5
100035,Female,Yes,35,Yes,Government_Employee,3,754183,1789558,4,Mosul,2
100036,Male,Yes,63,Yes,Retired,28,827777,6537561,2,Sulaymaniyah,4
100037,Male,Yes,78,No,Retired,15,598135,1770118,1,Mosul,4
100038,Female,Yes,31,Yes,Private_Sector,5,818104,1296056,3,Baghdad,6
100039,Female,Yes,33,Yes,Trader,7,2459046,19746467,6,Baghdad,5
100040,Male,Yes,29,No,Government_Employee,4,969709,2787984,3,Anbar,2
100041,Female,Yes,29,Yes,Government_Employee,9,642723,2741260,4,Basra,2
100042,Male,No,36,No,Government_Employee,7,1021249,2500093,5,Karbala,2
100043,Male,Yes,73,Yes,Retired,15,516195,5437947,2,Erbil,4
100044,Female,Yes,38,Yes,Private_Sector,9,1054914,3190262,5,Baghdad,6
100045,Male,Yes,30,Yes,Private_Sector,10,945318,2981344,3,Baghdad,6
100046,Female,Yes,71,No,Retired,22,665450,5620646,3,Basra,4
100047,Male,Yes,37,No,Private_Sector,11,634312,2496191,4,Basra,6
100048,Male,Yes,51,No,Driver,6,363561,536640,4,Sulaymaniyah,1
100049,Male,No,20,No,Unemployed,2,244096,623485,2,Mosul,6
100050,Male,No,74,No,Retired,15,488501,5284997,1,Baghdad,4
100051,Male,Yes,28,Yes,Private_Sector,7,748289,3700400,3,Baghdad,6
100052,Female,Yes,33,Yes,Teacher,3,855170,3011911,5,Baghdad,6
100053,Female,Yes,37,Yes,Trader,12,1432676,14956320,3,Baghdad,5
100054,Female,No,34,Yes,Trader,17,2517162,17158514,6,Baghdad,5
100055,Female,Yes,40,Yes,Government_Employee,5,952019,2628092,5,Basra,2
100056,Male,No,21,No,Unemployed,1,306749,301613,2,Baghdad,6
100057,Male,No,26,Yes,Laborer,0,263403,315732,2,Karbala,3
100058,Female,Yes,74,Yes,Retired,16,819810,6233972,3,Baghdad,4
100059,Female,Yes,52,Yes,Engineer,5,2714842,4443060,5,Baghdad,5
100060,Female,Yes,69,Yes,Retired,24,649091,8356788,1,Erbil,4
100061,Female,Yes,37,No,Driver,19,564391,861884,6,Mosul,1
100062,Male,No,83,Yes,Retired,23,556734,11418168,3,Basra,4
100063,Male,No,21,Yes,Student,1,309253,542150,2,Basra,0
100064,Female,No,29,No,Government_Employee,9,759580,2652636,4,Mosul,2
100065,Female,Yes,43,No,Trader,14,2400546,14563425,3,Baghdad,5
100066,Male,Yes,35,No,Government_Employee,10,649105,1914209,3,Erbil,2
100067,Male,Yes,31,Yes,Laborer,10,453538,671984,4,Diyala,3
100068,Male,Yes,52,No,Driver,7,477143,1150608,8,Baghdad,1
100069,Female,Yes,76,Yes,Retired,15,677812,4896550,1,Baghdad,4
100070,Male,Yes,44,Yes,Trader,9,2369323,12870648,4,Sulaymaniyah,5
100071,Female,No,60,Yes,Retired,21,328655,7641410,4,Dhi_Qar,4
100072,Male,Yes,22,Yes,Private_Sector,0,339491,2099,2,Anbar,6
100073,Female,Yes,34,No,Government_Employee,5,1249317,2892686,3,Erbil,2
100074,Male,Yes,33,No,Government_Employee,9,1037580,2851168,5,Dhi_Qar,2
100075,Female,Yes,66,No,Retired,16,448410,5926231,1,Basra,4
100076,Male,Yes,33,Yes,Trader,5,1690912,19671177,6,Basra,5
100077,Male,No,22,Yes,Private_Sector,2,444844,258034,3,Anbar,6
100078,Male,Yes,32,No,Government_Employee,7,919576,2972787,4,Erbil,2
100079,Male,No,30,Yes,Private_Sector,8,900835,2597280,3,Basra,6
100080,Female,Yes,31,No,Private_Sector,7,1002375,2503071,3,Anbar,6
100081,Female,No,25,Yes,Student,1,348864,210801,1,Najaf,0
100082,Male,Yes,30,Yes,Government_Employee,5,1239803,2471180,5,Baghdad,2
100083,Female,Yes,28,Yes,Government_Employee,11,866087,2205584,5,Basra,2
100084,Male,Yes,65,No,Retired,27,469511,8568213,3,Karbala,4
100085,Male,Yes,78,No,Retired,22,552496,6401658,3,Dhi_Qar,4
100086,Female,Yes,39,Yes,Trader,17,2381937,12406228,5,Basra,5
100087,Male,Yes,41,Yes,Teacher,10,901500,2333741,3,Mosul,6
100088,Male,No,77,Yes,Retired,17,583619,7441621,2,Baghdad,4
100089,Male,Yes,50,No,Laborer,3,376419,421632,8,Erbil,3
100090,Female,Yes,81,No,Retired,27,682280,10268825,2,Baghdad,4
100091,Female,Yes,64,No,Retired,21,628833,6076252,1,Sulaymaniyah,4
100092,Male,Yes,31,No,Driver,3,625506,779323,4,Karbala,1
100093,Female,No,25,No,Private_Sector,1,450202,262641,3,Baghdad,6
100094,Male,Yes,54,No,Driver,19,303006,786281,5,Erbil,1
100095,Female,Yes,41,Yes,Private_Sector,9,799702,2738760,3,Karbala,6
100096,Male,Yes,54,No,Trader,14,3391438,9469831,3,Anbar,5
100097,Female,Yes,75,Yes,Retired,26,686877,3057339,3,Sulaymaniyah,4
100098,Female,No,72,Yes,Retired,15,503334,5013668,3,Anbar,4
100099,Female,No,19,No,Student,1,493128,398163,2,Anbar,0
100100,Female,No,77,Yes,Retired,21,618286,7912030,2,Mosul,4
100101,Female,Yes,21,Yes,Unemployed,2,279259,327719,2,Diyala,6
100102,Male,Yes,29,Yes,Private_Sector,8,1005297,1570410,5,Anbar,6
100103,Male,Yes,80,No,Retired,27,699774,5278158,2,Karbala,4
100104,Male,No,28,No,Government_Employee,5,926244,3217766,3,Baghdad,2
100105,Male,Yes,52,Yes,Trader,9,1631745,10376850,5,Baghdad,5
100106,Female,No,76,No,Retired,23,478491,2887924,3,Baghdad,4
100107,Male,Yes,77,No,Retired,20,570905,6066837,1,Erbil,4
100108,Female,Yes,63,Yes,Retired,29,813161,9304344,3,Basra,4
100109,Female,No,22,No,Student,2,190652,504328,1,Erbil,0
100110,Female,No,37,Yes,Government_Employee,4,1007016,2887109,4,Mosul,2
100111,Female,Yes,38,Yes,Government_Employee,4,746369,2605074,4,Baghdad,2
100112,Female,No,21,Yes,Unemployed,2,360201,382608,2,Baghdad,6
100113,Female,No,33,Yes,Trader,6,2365362,11633591,5,Baghdad,5
100114,Male,Yes,44,Yes,Engineer,12,1860048,14505781,3,Karbala,5
100115,Male,Yes,80,No,Retired,22,408184,5631842,4,Najaf,4
100116,Male,No,41,Yes,Driver,12,427756,980690,8,Baghdad,1
100117,Male,No,24,Yes,Laborer,1,158690,535051,3,Basra,3
100118,Male,Yes,39,Yes,Government_Employee,9,701856,2584296,5,Anbar,2
100119,Female,Yes,82,Yes,Retired,22,569241,2982206,4,Diyala,4
100120,Female,No,18,No,Unemployed,2,461795,359966,1,Erbil,6
100121,Male,Yes,40,Yes,Government_Employee,9,648598,2542909,5,Baghdad,2
100122,Male,No,31,Yes,Engineer,11,1325103,20905442,4,Baghdad,5
100123,Male,No,22,No,Student,0,261869,364974,3,Najaf,0
100124,Female,Yes,62,Yes,Retired,22,564712,9711492,3,Mosul,4
100125,Female,No,30,No,Driver,8,556775,1167423,5,Erbil,1
100126,Male,No,22,Yes,Laborer,0,466663,555369,3,Baghdad,3
100127,Male,Yes,33,No,Trader,10,3495906,15891900,5,Erbil,5
100128,Female,Yes,58,No,Retired,28,457025,4855736,2,Erbil,4
100129,Male,Yes,33,No,Driver,4,463435,0,8,Diyala,1
100130,Female,Yes,41,No,Government_Employee,4,909442,2168257,4,Baghdad,2
100131,Male,No,21,No,Laborer,2,260289,417476,1,Erbil,3
100132,Male,Yes,42,No,Laborer,7,638800,440244,5,Baghdad,3
100133,Female,Yes,37,No,Laborer,11,531006,1212467,6,Sulaymaniyah,3
100134,Male,No,26,Yes,Student,2,214241,447300,2,Karbala,0
100135,Male,Yes,32,Yes,Government_Employee,5,801384,770554,4,Erbil,2
100136,Male,Yes,78,No,Retired,25,628201,3897359,2,Baghdad,4
100137,Female,Yes,65,No,Retired,20,609537,7014264,4,Baghdad,4
100138,Male,No,18,No,Private_Sector,1,604945,422243,3,Erbil,6
100139,Female,Yes,60,No,Retired,18,893757,5229054,4,Erbil,4
100140,Male,No,77,No,Retired,16,565859,5766556,2,Mosul,4
100141,Male,Yes,51,Yes,Trader,10,2408636,18509889,6,Karbala,5
100142,Male,No,20,No,Laborer,1,270845,250764,1,Najaf,3
100143,Male,No,21,No,Private_Sector,0,254185,129092,1,Anbar,6
100144,Female,Yes,33,Yes,Government_Employee,6,1141420,1716203,3,Erbil,2
100145,Male,Yes,60,Yes,Retired,17,771999,5526573,1,Mosul,4
100146,Male,No,20,Yes,Laborer,1,416420,436782,3,Najaf,3
100147,Male,No,19,No,Student,0,371451,553623,1,Erbil,0
100148,Male,Yes,40,Yes,Private_Sector,10,828537,1567453,3,Mosul,6
100149,Female,No,18,No,Student,0,405789,139180,3,Najaf,0
100150,Male,No,21,Yes,Laborer,2,286945,428663,2,Erbil,3
100151,Male,No,18,Yes,Student,1,553868,726472,1,Erbil,0
100152,Female,No,38,Yes,Trader,11,2115664,21316007,6,Baghdad,5
100153,Female,Yes,79,No,Retired,19,579784,3814644,4,Baghdad,4
100154,Male,Yes,35,Yes,Government_Employee,4,1026481,1405786,5,Najaf,2
100155,Female,No,26,Yes,Unemployed,2,449484,380648,1,Najaf,6
100156,Female,No,37,Yes,Teacher,3,538275,2867259,3,Karbala,6
100157,Female,No,30,Yes,Trader,7,3170392,21478773,6,Dhi_Qar,5
100158,Male,Yes,54,Yes,Laborer,15,559945,695306,6,Baghdad,3
100159,Female,Yes,30,No,Laborer,3,386057,1045099,7,Baghdad,3
100160,Male,Yes,35,No,Government_Employee,6,912021,3096700,3,Mosul,2
100161,Male,No,21,No,Student,0,483731,489247,2,Diyala,0
100162,Male,No,80,Yes,Retired,25,607657,5055392,1,Baghdad,4
100163,Male,Yes,45,No,Homemaker,15,350722,1274495,4,Dhi_Qar,1
100164,Female,Yes,28,No,Government_Employee,7,844123,3206235,5,Erbil,2
100165,Female,Yes,65,Yes,Retired,17,770084,7374663,2,Sulaymaniyah,4
100166,Male,Yes,35,No,Driver,5,715002,772310,7,Anbar,1
100167,Male,Yes,34,Yes,Trader,15,1434844,13193407,6,Baghdad,5
100168,Female,Yes,33,No,Laborer,12,227492,558482,7,Karbala,3
100169,Female,No,19,No,Student,1,393314,94085,2,Mosul,0
100170,Male,Yes,41,Yes,Teacher,7,629531,2571431,4,Baghdad,6
100171,Female,Yes,30,Yes,Government_Employee,11,724112,1404627,5,Mosul,2
100172,Male,No,22,No,Student,1,387771,408996,3,Mosul,0
100173,Male,Yes,41,No,Homemaker,15,461807,1008647,6,Sulaymaniyah,1
100174,Male,No,24,No,Unemployed,2,314424,554646,1,Sulaymaniyah,6
100175,Female,Yes,64,No,Retired,18,359929,4365465,4,Baghdad,4
100176,Male,Yes,24,No,Private_Sector,1,269318,52066,2,Najaf,6
100177,Female,Yes,28,Yes,Government_Employee,4,922015,3073609,4,Baghdad,2
100178,Male,No,31,Yes,Government_Employee,6,253195,2698366,3,Mosul,2
100179,Female,No,18,No,Student,1,223904,94943,1,Anbar,0
100180,Female,Yes,51,Yes,Engineer,6,1416026,20270781,6,Sulaymaniyah,5
100181,Female,Yes,40,No,Engineer,16,1244366,10736694,5,Mosul,5
100182,Female,Yes,41,No,Government_Employee,3,1032785,2441023,4,Karbala,2
100183,Male,No,81,No,Retired,18,587048,7752246,4,Baghdad,4
100184,Female,No,23,No,Student,2,293729,765990,3,Mosul,0
100185,Male,No,25,Yes,Private_Sector,0,281297,290201,1,Baghdad,6
100186,Female,Yes,41,No,Government_Employee,6,816206,3047936,3,Baghdad,2
100187,Male,No,36,Yes,Government_Employee,9,1116220,3375994,3,Baghdad,2
100188,Male,No,21,Yes,Unemployed,2,307304,186014,3,Baghdad,6
100189,Female,Yes,40,Yes,Homemaker,8,450647,1183074,6,Mosul,1
100190,Male,Yes,66,Yes,Retired,20,543286,9351503,4,Mosul,4
100191,Male,No,20,Yes,Student,2,300950,21556,2,Dhi_Qar,0
100192,Male,Yes,39,No,Private_Sector,7,959150,3028842,4,Sulaymaniyah,6
100193,Female,Yes,34,Yes,Private_Sector,4,940713,2383632,5,Dhi_Qar,6
100194,Female,Yes,31,Yes,Teacher,6,894920,3076303,3,Mosul,6
100195,Female,No,41,Yes,Government_Employee,7,861880,2120192,3,Baghdad,2
100196,Female,Yes,53,Yes,Engineer,10,3076840,11762337,6,Najaf,5
100197,Female,Yes,37,No,Homemaker,5,339750,579486,5,Basra,1
100198,Female,Yes,32,No,Government_Employee,4,647057,3041382,3,Diyala,2
100199,Female,Yes,58,No,Retired,17,522234,6875117,3,Mosul,4
100200,Female,Yes,54,Yes,Engineer,11,2658755,22635824,3,Erbil,5
100201,Male,No,69,Yes,Retired,17,577538,7523689,1,Erbil,4
100202,Male,No,23,No,Unemployed,0,406998,489441,3,Mosul,6
100203,Male,Yes,65,No,Retired,29,221200,4140676,1,Baghdad,4
100204,Male,Yes,30,No,Laborer,11,301020,837665,8,Mosul,3
100205,Female,Yes,48,Yes,Trader,9,2642667,3753679,5,Sulaymaniyah,5
100206,Female,Yes,37,Yes,Teacher,9,1112857,2572805,3,Basra,6
100207,Female,Yes,69,No,Retired,15,554266,2766968,4,Karbala,4
100208,Female,Yes,62,No,Retired,25,673302,8054701,4,Mosul,4
100209,Female,No,77,Yes,Retired,25,585291,4976521,2,Basra,4
100210,Female,Yes,23,No,Unemployed,1,314704,374025,3,Baghdad,6
100211,Male,Yes,51,No,Laborer,8,448380,685668,5,Dhi_Qar,3
100212,Female,No,33,No,Driver,14,309671,754287,7,Dhi_Qar,1
100213,Female,Yes,36,Yes,Private_Sector,3,1394740,2495940,3,Dhi_Qar,6
100214,Male,Yes,43,Yes,Trader,8,2721250,6864980,6,Baghdad,5
100215,Male,No,24,No,Laborer,0,357956,614393,2,Erbil,3
100216,Female,Yes,37,No,Driver,8,373008,914653,7,Basra,1
100217,Female,Yes,76,No,Retired,27,862912,4735238,3,Dhi_Qar,4
100218,Female,Yes,36,Yes,Trader,7,3057022,13754855,5,Erbil,5
100219,Male,Yes,82,Yes,Retired,17,667644,7995825,4,Karbala,4
100220,Male,No,18,Yes,Laborer,1,347912,318199,1,Erbil,3
100221,Male,Yes,29,No,Private_Sector,5,1248789,2529720,3,Baghdad,6
100222,Female,Yes,29,Yes,Private_Sector,9,997869,1132990,3,Erbil,6
100223,Female,No,36,Yes,Trader,5,1897674,18814549,5,Sulaymaniyah,5
100224,Male,No,23,No,Student,0,528479,182226,2,Diyala,0
100225,Male,Yes,36,No,Laborer,3,478033,1139862,4,Karbala,3
100226,Female,Yes,33,Yes,Teacher,4,1047674,3833010,4,Sulaymaniyah,6
100227,Male,No,28,No,Private_Sector,7,754695,2850408,3,Najaf,6
100228,Male,No,26,No,Unemployed,1,429437,350072,2,Basra,6
100229,Female,Yes,84,No,Retired,23,727978,6257156,3,Baghdad,4
100230,Male,Yes,84,Yes,Retired,15,676628,2019278,3,Basra,4
100231,Female,Yes,30,No,Trader,10,3034965,9390146,5,Mosul,5
100232,Female,Yes,38,No,Private_Sector,3,843859,2121013,5,Najaf,6
100233,Female,Yes,80,No,Retired,24,554710,7161548,2,Najaf,4
100234,Male,Yes,24,No,Student,1,405566,253309,1,Sulaymaniyah,0
100235,Female,Yes,61,Yes,Retired,29,716568,7177497,2,Najaf,4
100236,Male,Yes,48,Yes,Trader,14,2531120,23142462,5,Sulaymaniyah,5
100237,Male,Yes,33,Yes,Government_Employee,11,843974,2315114,5,Baghdad,2
100238,Female,Yes,44,No,Trader,5,1783736,12587190,4,Sulaymaniyah,5
100239,Male,Yes,33,No,Trader,12,1928253,20713356,6,Baghdad,5
100240,Male,No,34,Yes,Teacher,5,805833,1440013,5,Sulaymaniyah,6
100241,Male,No,84,No,Retired,27,761815,9589523,1,Baghdad,4
100242,Female,Yes,40,No,Government_Employee,4,1106959,2310152,3,Baghdad,2
100243,Female,Yes,35,No,Homemaker,6,623851,960376,5,Baghdad,1
100244,Female,Yes,78,No,Retired,24,707231,6560452,2,Baghdad,4
100245,Male,Yes,19,No,Student,2,413725,437421,1,Karbala,0
100246,Female,Yes,41,Yes,Trader,16,3719379,12933825,5,Baghdad,5
100247,Male,No,41,Yes,Private_Sector,7,771352,2622876,5,Basra,6
100248,Male,Yes,58,No,Retired,16,414171,10754320,3,Mosul,4
100249,Female,Yes,40,Yes,Doctor,14,2541043,11105869,6,Anbar,5
100250,Male,Yes,35,Yes,Private_Sector,8,1122372,1344249,5,Mosul,6
100251,Female,Yes,36,No,Laborer,7,450367,769258,6,Sulaymaniyah,3
100252,Female,No,25,Yes,Private_Sector,1,322522,522124,3,Najaf,6
100253,Female,No,39,No,Doctor,8,2418730,11177072,3,Karbala,5
100254,Female,No,34,Yes,Government_Employee,4,551945,1787042,5,Dhi_Qar,2
100255,Female,No,26,No,Unemployed,0,293847,423900,3,Najaf,6
100256,Female,No,60,No,Retired,15,509780,8113070,2,Anbar,4
100257,Female,Yes,48,Yes,Trader,5,1886300,12269589,3,Najaf,5
100258,Female,Yes,47,No,Driver,4,283018,473729,4,Sulaymaniyah,1
100259,Female,Yes,38,Yes,Engineer,13,2268654,15729869,6,Basra,5
100260,Male,Yes,39,No,Government_Employee,5,946723,1696047,5,Basra,2
100261,Male,Yes,47,No,Driver,5,374905,555858,4,Karbala,1
100262,Female,No,25,Yes,Laborer,2,255316,283624,2,Basra,3
100263,Female,No,24,No,Student,1,315223,334343,3,Baghdad,0
100264,Male,No,59,No,Retired,28,684151,8638382,1,Anbar,4
100265,Female,Yes,28,Yes,Private_Sector,8,1133313,2330324,4,Sulaymaniyah,6
100266,Male,No,40,No,Government_Employee,6,1137862,2512633,5,Sulaymaniyah,2
100267,Male,Yes,32,No,Laborer,15,539068,1044132,4,Diyala,3
100268,Female,Yes,39,Yes,Teacher,3,921399,2347941,5,Basra,6
100269,Male,Yes,51,Yes,Laborer,10,457856,880716,8,Dhi_Qar,3
100270,Female,Yes,47,Yes,Doctor,9,1412312,13580947,3,Mosul,5
100271,Female,Yes,32,Yes,Government_Employee,7,963634,1752768,3,Baghdad,2
100272,Female,No,19,No,Unemployed,2,436165,205786,1,Baghdad,6
100273,Female,Yes,31,No,Government_Employee,3,1041150,2293600,3,Erbil,2
100274,Male,No,36,No,Laborer,12,850253,629808,5,Basra,3
100275,Female,Yes,29,No,Private_Sector,11,1135496,4700017,3,Baghdad,6
100276,Male,No,21,No,Unemployed,1,428336,486582,2,Basra,6
100277,Female,Yes,28,No,Government_Employee,9,838596,3740505,4,Baghdad,2
100278,Male,Yes,40,No,Homemaker,16,532910,698173,5,Karbala,1
100279,Female,No,25,Yes,Student,2,325953,22819,3,Basra,0
100280,Male,No,62,No,Retired,26,688720,4680424,2,Baghdad,4
100281,Female,Yes,25,No,Unemployed,1,455775,285729,2,Najaf,6
100282,Male,Yes,45,No,Homemaker,4,636675,550190,8,Sulaymaniyah,1
100283,Male,Yes,53,Yes,Engineer,19,1774511,17785884,6,Dhi_Qar,5
100284,Male,Yes,20,Yes,Student,1,467628,337955,2,Sulaymaniyah,0
100285,Female,Yes,52,Yes,Driver,11,418239,609985,7,Baghdad,1
100286,Male,No,28,Yes,Government_Employee,7,1165613,2577488,3,Mosul,2
100287,Female,Yes,66,Yes,Retired,21,596713,4948270,2,Basra,4
100288,Female,Yes,54,No,Trader,18,1961465,12370314,3,Sulaymaniyah,5
100289,Female,No,21,No,Laborer,2,500617,465251,3,Baghdad,3
100290,Male,No,18,No,Student,1,404748,381001,3,Najaf,0
100291,Male,No,18,No,Unemployed,0,458336,565947,2,Basra,6
100292,Female,No,19,No,Student,1,330817,306660,1,Basra,0
100293,Male,No,25,No,Student,0,377967,78858,3,Baghdad,0
100294,Female,No,24,No,Student,1,376420,205269,2,Anbar,0
100295,Female,No,33,No,Laborer,18,737651,745157,7,Baghdad,3
100296,Male,No,23,Yes,Laborer,2,205531,598899,2,Baghdad,3
100297,Female,Yes,50,Yes,Trader,9,4021084,6236339,4,Diyala,5
100298,Male,No,22,No,Unemployed,2,303551,251708,2,Erbil,6
100299,Female,No,20,Yes,Student,2,446500,711254,3,Sulaymaniyah,0
100300,Female,Yes,71,Yes,Retired,18,658442,8300381,4,Karbala,4
100301,Female,Yes,36,No,Driver,11,447469,1150033,7,Baghdad,1
100302,Male,Yes,37,No,Government_Employee,10,864493,2849379,5,Basra,2
100303,Male,No,23,No,Student,0,462177,596792,1,Najaf,0
100304,Male,No,46,No,Driver,15,409680,820590,6,Anbar,1
100305,Male,Yes,19,Yes,Student,2,460946,518248,3,Baghdad,0
100306,Female,Yes,30,No,Government_Employee,11,747333,3587769,3,Erbil,2
100307,Female,Yes,37,Yes,Trader,7,2319747,18328895,5,Baghdad,5
100308,Male,Yes,40,No,Homemaker,3,497654,6694,5,Najaf,1
100309,Male,Yes,59,Yes,Retired,29,847781,6735216,2,Baghdad,4
100310,Female,Yes,53,Yes,Trader,19,1458367,23473254,3,Baghdad,5
100311,Male,Yes,34,No,Government_Employee,3,832958,2034810,4,Baghdad,2
100312,Male,Yes,63,No,Retired,20,568131,2112097,4,Karbala,4
100313,Female,Yes,36,No,Laborer,11,334720,847966,8,Baghdad,3
100314,Female,No,36,Yes,Homemaker,9,376933,1172166,4,Karbala,1
100315,Female,Yes,67,No,Retired,15,513961,4743380,2,Basra,4
100316,Female,No,23,Yes,Student,2,329362,269703,2,Baghdad,0
100317,Female,Yes,36,Yes,Government_Employee,10,760128,2871910,3,Baghdad,2
100318,Male,Yes,44,Yes,Doctor,8,3439843,17718655,5,Mosul,5
100319,Female,No,40,No,Trader,5,981829,15011037,3,Mosul,5
100320,Female,No,64,No,Retired,28,539147,5674737,1,Mosul,4
100321,Male,Yes,38,Yes,Government_Employee,9,874925,981597,5,Sulaymaniyah,2
100322,Female,Yes,65,Yes,Retired,18,1052703,3525858,4,Diyala,4
100323,Male,Yes,39,No,Teacher,9,866706,3580072,4,Basra,6
100324,Male,Yes,71,No,Retired,16,669517,6898209,1,Baghdad,4
100325,Male,No,23,No,Unemployed,1,298527,454399,1,Anbar,6
100326,Female,Yes,39,Yes,Trader,9,1977876,25109211,4,Erbil,5
100327,Female,No,26,No,Unemployed,2,410152,81146,3,Karbala,6
100328,Male,No,24,Yes,Private_Sector,1,168613,83785,3,Baghdad,6
100329,Male,Yes,45,Yes,Laborer,14,310578,558419,8,Diyala,3
100330,Male,No,34,Yes,Teacher,4,815733,3025314,3,Mosul,6
100331,Female,Yes,52,No,Homemaker,12,461827,1169434,4,Najaf,1
100332,Female,Yes,30,Yes,Trader,17,1479891,14920226,4,Anbar,5
100333,Male,No,23,No,Unemployed,0,520579,387439,3,Basra,6
100334,Female,Yes,63,No,Retired,28,454556,4610258,1,Sulaymaniyah,4
100335,Female,No,21,No,Private_Sector,1,255851,556377,3,Najaf,6
100336,Female,Yes,82,No,Retired,21,567333,7701793,1,Dhi_Qar,4
100337,Female,Yes,25,Yes,Laborer,1,357872,532405,1,Dhi_Qar,3
100338,Male,No,60,No,Retired,26,553288,4356846,3,Dhi_Qar,4
100339,Male,No,24,No,Student,0,304027,589551,3,Basra,0
100340,Female,Yes,31,Yes,Government_Employee,7,760921,577762,4,Basra,2
100341,Female,Yes,33,No,Homemaker,4,504968,552764,8,Baghdad,1
100342,Male,Yes,31,Yes,Engineer,12,2889865,11416164,5,Basra,5
100343,Male,Yes,79,No,Retired,17,804917,7836040,4,Erbil,4
100344,Female,Yes,58,No,Retired,23,712033,6309235,2,Najaf,4
100345,Male,No,20,Yes,Laborer,2,403611,552961,1,Anbar,3
100346,Male,Yes,72,Yes,Retired,27,336020,5077413,3,Baghdad,4
100347,Female,No,43,No,Laborer,15,447744,582688,7,Sulaymaniyah,3
100348,Female,No,21,Yes,Private_Sector,1,272613,275763,1,Diyala,6
100349,Female,Yes,45,Yes,Doctor,17,3392137,10812611,6,Najaf,5
100350,Female,Yes,41,No,Government_Employee,10,684240,3417687,3,Baghdad,2
100351,Female,Yes,63,Yes,Retired,20,499702,5415135,2,Mosul,4
100352,Female,No,18,No,Private_Sector,2,448224,483202,1,Mosul,6
100353,Female,Yes,35,Yes,Engineer,17,3116627,17249046,5,Baghdad,5
100354,Female,Yes,65,No,Retired,25,576843,5601312,3,Najaf,4
100355,Male,No,61,No,Retired,23,605455,2956421,3,Baghdad,4
100356,Female,No,20,No,Laborer,0,467068,366519,1,Mosul,3
100357,Male,Yes,76,No,Retired,18,316366,3080432,1,Mosul,4
100358,Male,Yes,40,Yes,Teacher,8,1031273,816980,3,Najaf,6
100359,Male,No,60,Yes,Retired,17,599004,6822999,2,Erbil,4
100360,Male,Yes,42,Yes,Trader,9,3392567,13706467,6,Anbar,5
100361,Male,No,20,No,Private_Sector,0,257397,412702,3,Najaf,6
100362,Female,Yes,59,No,Retired,29,781786,5118734,3,Basra,4
100363,Male,Yes,62,No,Retired,29,455990,5403827,4,Basra,4
100364,Female,Yes,82,No,Retired,29,671270,8367884,2,Baghdad,4
100365,Female,Yes,36,No,Homemaker,16,250718,287829,7,Mosul,1
